EmployeeID, EmployeeType, Hourly Rate, Total Hours, BonusRate
1230012	N	25.00	1800.00	0.05
1230013	E	95.00	2300.00	0.05
1230014	N	35.00	1800.00	0.05
1230015	N	25.00	1800.00	0.05
1230016	N	25.00	1800.00	0.05
1230017	E	85.00	2200.00	0.05
1230018	N	35.00	1800.00	0.05
1230019	N	20.00	1800.00	0.05
1230020	N	25.00	1800.00	0.05
1230021	E	105.00	1800.00	0.05
1230022	N	25.00	1800.00	0.05
1230023	N	25.00	1800.00	0.05
1230024	P	12.00	800.00	0.00
1230025	N	35.00	1800.00	0.05
1230026	N	20.00	1800.00	0.05
1230027	E	105.00	2500.00	0.05
1230028	N	25.00	1800.00	0.05
1230029	N	25.00	1800.00	0.05
1230030	N	35.00	1800.00	0.05
1230031	N	32.00	1800.00	0.05
1230032	N	25.00	1800.00	0.05
1230033	E	120.00	2100.00	0.05
1230034	N	25.00	1800.00	0.05
1230035	N	25.00	1800.00	0.05
1230036	P	11.00	1000.00	0.00
1230037	N	25.00	1800.00	0.05
1230038	N	25.00	1800.00	0.05
1230039	E	90.00	2300.00	0.05
1230040	N	25.00	1800.00	0.05
1230041	N	31.00	1800.00	0.05
1230042	N	27.00	1800.00	0.05
1230043	E	85.00	2100.00	0.05
1230044	N	25.00	1800.00	0.05
1230045	P	12.00	1100.00	0.00
1230046	N	24.00	1800.00	0.05
